iter	Passed	Remaining
211	1256	4672
212	1261	4662
213	1266	4652
214	1271	4643
215	1277	4635
216	1282	4626
217	1287	4618
218	1292	4608
219	1297	4599
220	1302	4589
221	1307	4580
222	1312	4572
223	1317	4563
224	1322	4554
225	1327	4546
226	1332	4535
227	1336	4526
228	1341	4518
229	1346	4509
230	1351	4500
231	1356	4490
232	1361	4481
233	1366	4472
234	1371	4464
235	1376	4457
236	1381	4449
237	1386	4439
238	1391	4430
239	1396	4421
240	1401	4413
241	1406	4405
242	1411	4396
243	1416	4387
244	1420	4378
245	1425	4370
246	1430	4362
247	1435	4354
248	1440	4345
249	1445	4336
250	1450	4328
251	1455	4319
252	1460	4311
253	1465	4304
254	1470	4296
255	1475	4287
256	1480	4279
257	1485	4271
258	1490	4263
259	1495	4255
260	1500	4247
261	1505	4239
262	1509	4230
263	1514	4222
264	1519	4214
265	1524	4206
266	1529	4198
267	1534	4191
268	1539	4182
269	1544	4174
270	1548	4166
271	1553	4158
272	1558	4150
273	1563	4143
274	1568	4135
275	1573	4128
276	1578	4121
277	1584	4113
278	1588	4105
279	1593	4096
280	1598	4089
281	1603	4082
282	1608	4075
283	1613	4067
284	1618	4059
285	1622	4051
286	1627	4043
287	1632	4036
288	1637	4029
289	1643	4022
290	1648	4015
291	1652	4007
292	1657	4000
293	1662	3993
294	1667	3985
295	1672	3978
296	1678	3972
297	1683	3965
298	1688	3957
299	1692	3950
300	1697	3942
301	1702	3935
302	1707	3928
303	1712	3921
304	1717	3914
305	1722	3906
306	1727	3899
307	1732	3892
308	1737	3885
309	1742	3878
310	1747	3871
311	1752	3863
312	1757	3856
313	1762	3850
314	1767	3842
315	1771	3835
316	1776	3828
317	1782	3822
318	1787	3815
319	1792	3808
320	1797	3801
321	1802	3796
322	1808	3791
323	1814	3785
324	1820	3782
325	1826	3776
326	1831	3770
327	1836	3763
328	1841	3756
329	1846	3749
330	1863	3766
331	1868	3759
332	1873	3751
333	1878	3745
334	1883	3738
335	1888	3731
336	1893	3725
337	1898	3718
338	1903	3711
339	1907	3703
340	1912	3696
341	1917	3689
342	1922	3682
343	1927	3675
344	1932	3669
345	1938	3663
346	1943	3656
347	1948	3649
348	1953	3643
349	1958	3637
350	1963	3630
351	1968	3624
352	1973	3617
353	1978	3610
354	1984	3604
355	1988	3597
356	1993	3590
357	1998	3584
358	2003	3577
359	2008	3570
360	2012	3562
361	2017	3556
362	2023	3550
363	2028	3544
364	2033	3537
365	2038	3531
366	2043	3524
367	2048	3517
368	2053	3511
369	2058	3504
370	2063	3498
371	2068	3491
372	2073	3485
373	2078	3478
374	2083	3472
375	2088	3466
376	2093	3459
377	2098	3452
378	2103	3446
379	2108	3439
380	2112	3432
381	2117	3426
382	2123	3420
383	2127	3413
384	2132	3406
385	2138	3401
386	2143	3395
387	2148	3388
388	2153	3382
389	2157	3375
390	2162	3368
391	2167	3361
392	2172	3355
393	2177	3349
394	2182	3343
395	2188	3337
396	2192	3330
397	2197	3324
398	2202	3317
399	2207	3311
400	2212	3304
401	2218	3299
402	2223	3293
403	2228	3288
404	2233	3281
405	2238	3274
406	2243	3268
407	2248	3262
408	2253	3256
409	2258	3249
410	2263	3243
411	2268	3236
412	2273	3230
413	2278	3224
414	2283	3219
415	2289	3213
416	2294	3207
417	2299	3201
418	2303	3194
419	2308	3187
420	2313	3181
421	2318	3175
422	2323	3169
423	2328	3162
424	2332	3156
425	2337	3149
426	2342	3143
427	2347	3137
428	2352	3131
429	2357	3125
430	2362	3119
431	2367	3113
432	2372	3107
433	2378	3101
434	2383	3095
435	2388	3090
436	2393	3083
437	2398	3077
438	2402	3070
439	2408	3064
440	2413	3058
441	2418	3053
442	2423	3047
443	2428	3041
444	2433	3035
445	2438	3029
446	2443	3023
447	2449	3017
448	2454	3011
449	2459	3005
450	2463	2999
451	2468	2992
452	2473	2986
453	2478	2981
454	2484	2975
455	2489	2969
456	2493	2963
457	2498	2957
458	2503	2951
459	2509	2945
460	2514	2939
461	2519	2933
462	2523	2927
463	2528	2920
464	2533	2914
465	2538	2908
466	2543	2902
467	2548	2896
468	2553	2890
469	2557	2884
470	2562	2878
471	2568	2872
472	2573	2867
473	2578	2861
474	2583	2855
475	2588	2849
476	2593	2843
477	2598	2837
478	2603	2831
479	2608	2825
480	2613	2819
481	2617	2813
482	2622	2807
483	2627	2801
484	2632	2795
485	2638	2789
486	2642	2784
487	2647	2777
488	2652	2772
489	2657	2766
490	2662	2759
491	2667	2753
492	2672	2748
493	2677	2742
494	2682	2736
495	2687	2730
496	2692	2724
497	2697	2719
498	2702	2713
499	2707	2707
500	2712	2702
501	2717	2695
502	2722	2689
503	2727	2684
504	2732	2678
505	2737	2672
506	2741	2666
507	2746	2659
508	2751	2654
509	2756	2648
510	2761	2642
511	2767	2637
512	2772	2631
513	2776	2625
514	2782	2620
515	2787	2614
516	2793	2609
517	2798	2603
518	2803	2597
519	2808	2592
520	2813	2586
521	2817	2580
522	2822	2574
523	2828	2569
524	2833	2563
525	2838	2557
526	2843	2551
527	2847	2545
528	2852	2539
529	2857	2534
530	2863	2528
531	2868	2523
532	2873	2517
533	2877	2511
534	2883	2506
535	2888	2500
536	2893	2494
537	2898	2489
538	2903	2483
539	2908	2477
540	2913	2471
541	2918	2465
542	2923	2460
543	2928	2454
544	2933	2448
545	2938	2443
546	2942	2437
547	2947	2430
548	2952	2425
549	2957	2419
550	2962	2414
551	2967	2408
552	2972	2402
553	2977	2397
554	2982	2391
555	2988	2386
556	2993	2380
557	2998	2375
558	3003	2369
559	3008	2363
560	3014	2358
561	3019	2353
562	3024	2347
563	3029	2341
564	3034	2336
565	3039	2330
566	3044	2324
567	3049	2319
568	3054	2313
569	3059	2307
570	3064	2302
571	3069	2296
572	3074	2291
573	3080	2286
574	3085	2280
575	3090	2274
576	3095	2269
577	3100	2263
578	3105	2257
579	3110	2252
580	3115	2246
581	3120	2240
582	3125	2235
583	3130	2229
584	3135	2224
585	3140	2218
586	3145	2213
587	3149	2207
588	3154	2201
589	3159	2195
590	3164	2189
591	3169	2184
592	3174	2178
593	3179	2173
594	3184	2167
595	3189	2162
596	3194	2156
597	3199	2150
598	3204	2145
599	3209	2139
600	3214	2134
601	3219	2128
602	3225	2123
603	3230	2118
604	3236	2112
605	3242	2107
606	3247	2102
607	3252	2097
608	3257	2091
609	3262	2085
610	3267	2080
611	3272	2074
612	3277	2069
613	3283	2064
614	3288	2058
615	3293	2053
616	3298	2047
617	3303	2042
618	3308	2036
619	3313	2030
620	3318	2025
621	3323	2019
622	3328	2014
623	3333	2008
624	3338	2003
625	3343	1997
626	3348	1991
627	3353	1986
628	3359	1981
629	3365	1976
630	3370	1970
631	3375	1965
632	3379	1959
633	3385	1954
634	3390	1948
635	3395	1943
636	3400	1938
637	3405	1932
638	3410	1926
639	3415	1921
640	3419	1915
641	3425	1909
642	3429	1904
643	3434	1898
644	3439	1892
645	3444	1887
646	3448	1881
647	3453	1876
648	3458	1870
649	3463	1865
650	3468	1859
651	3473	1853
652	3478	1848
653	3483	1842
654	3488	1837
655	3493	1832
656	3498	1826
657	3503	1820
658	3508	1815
659	3513	1809
660	3518	1804
661	3522	1798
662	3527	1793
663	3533	1787
664	3538	1782
665	3542	1776
666	3547	1771
667	3552	1765
668	3557	1759
669	3561	1754
670	3567	1748
671	3572	1743
672	3577	1738
673	3582	1732
674	3586	1727
675	3591	1721
676	3597	1716
677	3602	1710
678	3606	1705
679	3611	1699
680	3616	1694
681	3621	1688
682	3627	1683
683	3633	1678
684	3638	1673
685	3643	1667
686	3648	1662
687	3653	1656
688	3658	1651
689	3662	1645
690	3667	1640
691	3672	1634
692	3677	1629
693	3682	1623
694	3687	1618
695	3692	1612
696	3697	1607
697	3702	1602
698	3707	1596
699	3713	1591
700	3717	1585
701	3722	1580
702	3727	1574
703	3732	1569
704	3737	1563
705	3742	1558
706	3747	1553
707	3752	1547
708	3757	1542
709	3762	1536
710	3767	1531
711	3772	1525
712	3776	1520
713	3782	1514
714	3787	1509
715	3792	1504
716	3797	1499
717	3803	1493
718	3808	1488
719	3812	1482
720	3817	1477
721	3822	1471
722	3827	1466
723	3832	1461
724	3837	1455
725	3842	1450
726	3847	1444
727	3851	1439
728	3857	1433
729	3862	1428
730	3867	1423
731	3872	1417
732	3876	1412
733	3881	1406
734	3886	1401
735	3892	1396
736	3897	1390
737	3902	1385
738	3907	1380
739	3912	1374
740	3917	1369
741	3922	1363
742	3926	1358
743	3931	1352
744	3936	1347
745	3941	1341
746	3946	1336
747	3950	1331
748	3955	1325
749	3960	1320
750	3965	1314
751	3970	1309
752	3975	1304
753	3980	1298
754	3985	1293
755	3990	1288
756	3995	1282
757	4000	1277
758	4005	1271
759	4010	1266
760	4015	1260
761	4019	1255
762	4024	1250
763	4029	1244
764	4034	1239
765	4039	1234
766	4044	1228
767	4049	1223
768	4053	1217
769	4058	1212
770	4063	1206
771	4068	1201
772	4073	1196
773	4077	1190
774	4082	1185
775	4087	1179
776	4093	1174
777	4098	1169
778	4103	1164
779	4108	1158
780	4112	1153
781	4117	1147
782	4122	1142
783	4127	1137
784	4132	1131
785	4137	1126
786	4142	1121
787	4147	1115
788	4152	1110
789	4156	1104
790	4161	1099
791	4165	1094
792	4170	1088
793	4176	1083
794	4181	1078
795	4186	1072
796	4191	1067
797	4196	1062
798	4201	1056
799	4206	1051
800	4211	1046
801	4216	1041
802	4221	1035
803	4226	1030
804	4232	1025
805	4237	1019
806	4241	1014
807	4246	1009
808	4251	1003
809	4256	998
810	4261	993
811	4266	987
812	4270	982
813	4275	977
814	4281	971
815	4286	966
816	4291	961
817	4296	955
818	4301	950
819	4306	945
820	4311	940
821	4316	934
822	4321	929
823	4327	924
824	4332	918
825	4337	913
826	4341	908
827	4346	902
828	4351	897
829	4356	892
830	4361	886
831	4366	881
832	4371	876
833	4376	871
834	4381	865
835	4386	860
836	4391	855
837	4396	849
838	4401	844
839	4406	839
840	4411	834
841	4416	828
842	4421	823
843	4426	818
844	4432	812
845	4436	807
846	4442	802
847	4446	797
848	4451	791
849	4456	786
850	4461	781
851	4466	775
852	4470	770
853	4475	765
854	4480	759
855	4485	754
856	4490	749
857	4495	744
858	4501	738
859	4505	733
860	4511	728
861	4516	722
862	4520	717
863	4525	712
864	4530	707
865	4534	701
866	4539	696
867	4544	691
868	4549	685
869	4554	680
870	4559	675
871	4564	670
872	4569	664
873	4574	659
874	4578	654
875	4583	648
876	4588	643
877	4593	638
878	4599	633
879	4604	627
880	4609	622
881	4613	617
882	4618	611
883	4623	606
884	4628	601
885	4633	596
886	4638	590
887	4643	585
888	4648	580
889	4653	575
890	4658	569
891	4663	564
892	4668	559
893	4672	554
894	4677	548
895	4683	543
896	4687	538
897	4692	533
898	4697	527
899	4702	522
900	4707	517
901	4711	511
902	4716	506
903	4721	501
904	4726	496
905	4730	490
906	4735	485
907	4740	480
908	4745	475
909	4749	469
910	4754	464
911	4759	459
912	4764	454
913	4769	448
914	4774	443
915	4778	438
916	4783	432
917	4788	427
918	4794	422
919	4799	417
920	4804	412
921	4808	406
922	4813	401
923	4818	396
924	4823	391
925	4828	385
926	4834	380
927	4839	375
928	4845	370
929	4849	365
930	4854	359
931	4859	354
932	4864	349
933	4869	344
934	4874	338
935	4879	333
936	4884	328
937	4889	323
938	4895	318
939	4901	312
940	4906	307
941	4911	302
942	4916	297
943	4921	291
944	4926	286
945	4931	281
946	4936	276
947	4941	271
948	4945	265
949	4951	260
950	4955	255
951	4960	250
952	4965	244
953	4970	239
954	4974	234
955	4979	229
956	4984	223
957	4990	218
958	4995	213
959	5000	208
960	5004	203
961	5009	197
962	5015	192
963	5020	187
964	5025	182
965	5030	177
966	5034	171
967	5039	166
968	5044	161
969	5049	156
970	5054	150
971	5059	145
972	5064	140
973	5068	135
974	5073	130
975	5078	124
976	5083	119
977	5088	114
978	5093	109
979	5098	104
980	5103	98
981	5108	93
982	5113	88
983	5117	83
984	5122	78
985	5127	72
986	5132	67
987	5137	62
988	5142	57
989	5147	51
990	5152	46
991	5157	41
992	5162	36
993	5167	31
994	5172	25
995	5177	20
996	5182	15
997	5187	10
998	5192	5
999	5198	0
